Event;Tracks;Spatializer
Music_Menu;1;
Music_InGame;1;
Ambience_Background;1;
Ambience_Menu;1;
UI_Hover;1;
UI_Confirm;1;
UI_Pickup;1;
Player_Footsteps;1;x
Player_Sword_Attack;1;x
Player_Sword_Hit;1;x
Player_Spell_Attack;1;x
Player_Spell_Hit;1;x
Player_Dodge;1;x
Player_Block;1;x
Player_Damage;1;x
Enemy_Ghoul_Footsteps;1;x
Enemy_Ghoul_Attack;1;x
Enemy_Ghoul_Damage;1;x
Enemy_Ghoul_Death;1;x
Enemy_Isif_IntroRoar;1;
Enemy_Isif_Attack;1;x
Enemy_Isif_DeathRoar;1;x
Enemy_Isif_Damage;1;x
Player_Jump;1;x
Player_Land;1;x
Player_Death;1;x
Enemy_Idle;1;x
